product_id,old_product_name,new_product_name
AHMEDABAD_ITC_VEGETABLES,ITC Vegetables (Ahmedabad),Fresho Capsicum 500g
AHMEDABAD_NESTLE_BEVERAGES,Nestle Beverages (Ahmedabad),Nescafé Classic 100g
AHMEDABAD_NESTLE_DAIRY,Nestle Dairy (Ahmedabad),Nestle a+ Nourish Milk 1L
AHMEDABAD_NESTLE_FRUITS,Nestle Fruits (Ahmedabad),Real Mango Juice 1L
AHMEDABAD_NESTLE_GROCERY,Nestle Grocery (Ahmedabad),Maggi Masala-ae-Magic 60g
AHMEDABAD_NESTLE_HOME_CARE,Nestle Home Care (Ahmedabad),Domex Toilet Cleaner 500ml
AHMEDABAD_NESTLE_PERSONAL_CARE,Nestle Personal Care (Ahmedabad),Sunsilk Stunning Black Shine Shampoo 340ml
AHMEDABAD_NESTLE_SNACKS,Nestle Snacks (Ahmedabad),Maggi 2-Minute Masala Noodles 420g
AHMEDABAD_NESTLE_VEGETABLES,Nestle Vegetables (Ahmedabad),Fresho Cabbage 1pc
AHMEDABAD_PARLE_BEVERAGES,Parle Beverages (Ahmedabad),Appy Fizz 250ml
AHMEDABAD_PARLE_DAIRY,Parle Dairy (Ahmedabad),Amul Fresh Cream 250ml
AHMEDABAD_PARLE_FRUITS,Parle Fruits (Ahmedabad),Real Mixed Fruit Juice 1L
AHMEDABAD_PARLE_GROCERY,Parle Grocery (Ahmedabad),Tata Sampann Turmeric 200g
AHMEDABAD_PARLE_HOME_CARE,Parle Home Care (Ahmedabad),Surf Excel Matic Top Load 1kg
AHMEDABAD_PARLE_PERSONAL_CARE,Parle Personal Care (Ahmedabad),Clinic Plus Strong & Long Shampoo 340ml
AHMEDABAD_PARLE_SNACKS,Parle Snacks (Ahmedabad),Parle 20-20 Cookies 150g
AHMEDABAD_PARLE_VEGETABLES,Parle Vegetables (Ahmedabad),Fresho Carrot 500g
AHMEDABAD_PEPSICO_BEVERAGES,PepsiCo Beverages (Ahmedabad),Mirinda Orange 750ml
AHMEDABAD_PEPSICO_DAIRY,PepsiCo Dairy (Ahmedabad),Amul Cheese Slices 200g
AHMEDABAD_PEPSICO_FRUITS,PepsiCo Fruits (Ahmedabad),Real Pineapple Juice 1L
AHMEDABAD_PEPSICO_GROCERY,PepsiCo Grocery (Ahmedabad),Tata Sampann Urad Dal 1kg
AHMEDABAD_PEPSICO_HOME_CARE,PepsiCo Home Care (Ahmedabad),Comfort Fabric Conditioner 860ml
AHMEDABAD_PEPSICO_PERSONAL_CARE,PepsiCo Personal Care (Ahmedabad),Lux Soft Touch Soap 100g
AHMEDABAD_PEPSICO_SNACKS,PepsiCo Snacks (Ahmedabad),Lay's Spanish Tomato Tango 50g
AHMEDABAD_PEPSICO_VEGETABLES,PepsiCo Vegetables (Ahmedabad),Fresho Potato 1kg
AHMEDABAD_TATA_BEVERAGES,Tata Beverages (Ahmedabad),Tata Gluco Plus 200ml
AHMEDABAD_TATA_DAIRY,Tata Dairy (Ahmedabad),Amul Butter Pasteurised 500g
AHMEDABAD_TATA_FRUITS,Tata Fruits (Ahmedabad),Real Guava Juice 1L
AHMEDABAD_TATA_GROCERY,Tata Grocery (Ahmedabad),Tata Sampann Toor Dal 1kg
AHMEDABAD_TATA_HOME_CARE,Tata Home Care (Ahmedabad),Surf Excel Easy Wash Detergent 1kg
AHMEDABAD_TATA_PERSONAL_CARE,Tata Personal Care (Ahmedabad),Fair & Lovely Advanced Multi Vitamin 50g
AHMEDABAD_TATA_SNACKS,Tata Snacks (Ahmedabad),Lay's India's Magic Masala 50g
AHMEDABAD_TATA_VEGETABLES,Tata Vegetables (Ahmedabad),Tata Sampann High Protein Toor Dal 1kg
BENGALURU_AMUL_BEVERAGES,Amul Beverages (Bengaluru),Amul Kool Rose 200ml
BENGALURU_AMUL_DAIRY,Amul Dairy (Bengaluru),Amul Paneer 200g
BENGALURU_AMUL_FRUITS,Amul Fruits (Bengaluru),Real Apple Juice 1L
BENGALURU_AMUL_GROCERY,Amul Grocery (Bengaluru),Tata Salt Lite 1kg
BENGALURU_AMUL_HOME_CARE,Amul Home Care (Bengaluru),Vim Dishwash Bar 200g
BENGALURU_AMUL_PERSONAL_CARE,Amul Personal Care (Bengaluru),Pepsodent Germi Check Toothpaste 150g
BENGALURU_AMUL_SNACKS,Amul Snacks (Bengaluru),Kurkure Masala Munch 90g
BENGALURU_AMUL_VEGETABLES,Amul Vegetables (Bengaluru),Fresho Onion 1kg
BENGALURU_BRITANNIA_BEVERAGES,Britannia Beverages (Bengaluru),7UP Soft Drink 750ml
BENGALURU_BRITANNIA_DAIRY,Britannia Dairy (Bengaluru),Britannia Cream Cheese 200g
BENGALURU_BRITANNIA_FRUITS,Britannia Fruits (Bengaluru),Real Guava Juice 1L
BENGALURU_BRITANNIA_GROCERY,Britannia Grocery (Bengaluru),Tata Sampann Chana Dal 1kg
BENGALURU_BRITANNIA_HOME_CARE,Britannia Home Care (Bengaluru),Comfort Fabric Conditioner 860ml
BENGALURU_BRITANNIA_PERSONAL_CARE,Britannia Personal Care (Bengaluru),Lifebuoy Total 10 Soap 100g
BENGALURU_BRITANNIA_SNACKS,Britannia Snacks (Bengaluru),Britannia Marie Gold Biscuits 250g
BENGALURU_BRITANNIA_VEGETABLES,Britannia Vegetables (Bengaluru),Fresho Carrot 500g
BENGALURU_HUL_BEVERAGES,HUL Beverages (Bengaluru),Pepsi Cola Soft Drink 2.25L
BENGALURU_HUL_DAIRY,HUL Dairy (Bengaluru),Amul Gold Full Cream Milk 1L
BENGALURU_HUL_FRUITS,HUL Fruits (Bengaluru),Real Pomegranate Juice 1L
BENGALURU_HUL_GROCERY,HUL Grocery (Bengaluru),Tata Sampann Turmeric 200g
BENGALURU_HUL_HOME_CARE,HUL Home Care (Bengaluru),Surf Excel Matic Top Load 1kg
BENGALURU_HUL_PERSONAL_CARE,HUL Personal Care (Bengaluru),Clinic Plus Strong & Long Shampoo 340ml
BENGALURU_HUL_SNACKS,HUL Snacks (Bengaluru),Kurkure Chilli Chatka 90g
BENGALURU_HUL_VEGETABLES,HUL Vegetables (Bengaluru),Fresho Tomato 1kg
BENGALURU_ITC_BEVERAGES,ITC Beverages (Bengaluru),B Natural Guava 1L
BENGALURU_ITC_DAIRY,ITC Dairy (Bengaluru),Amul Ghee 1L
BENGALURU_ITC_FRUITS,ITC Fruits (Bengaluru),Real Orange Juice 1L
BENGALURU_ITC_GROCERY,ITC Grocery (Bengaluru),Aashirvaad Shudh Chakki Atta 5kg
BENGALURU_ITC_HOME_CARE,ITC Home Care (Bengaluru),Surf Excel Matic Front Load 1kg
BENGALURU_ITC_PERSONAL_CARE,ITC Personal Care (Bengaluru),Vivel Aloe Vera Soap 100g
BENGALURU_ITC_SNACKS,ITC Snacks (Bengaluru),Bingo Potato Chips Masala 50g
BENGALURU_ITC_VEGETABLES,ITC Vegetables (Bengaluru),Fresho Cauliflower 1pc
BENGALURU_NESTLE_BEVERAGES,Nestle Beverages (Bengaluru),Nescafé Classic 200g
BENGALURU_NESTLE_DAIRY,Nestle Dairy (Bengaluru),Nestle a+ Slim Milk 1L
BENGALURU_NESTLE_FRUITS,Nestle Fruits (Bengaluru),Real Pomegranate Juice 1L
BENGALURU_NESTLE_GROCERY,Nestle Grocery (Bengaluru),Maggi Hot & Sweet Tomato Chilli Sauce 500g
BENGALURU_NESTLE_HOME_CARE,Nestle Home Care (Bengaluru),Vim Dishwash Liquid 500ml
BENGALURU_NESTLE_PERSONAL_CARE,Nestle Personal Care (Bengaluru),Dove Cream Beauty Bathing Bar 100g
BENGALURU_NESTLE_SNACKS,Nestle Snacks (Bengaluru),Maggi Fusian Singapore Tangy Pepper 73g
BENGALURU_NESTLE_VEGETABLES,Nestle Vegetables (Bengaluru),Fresho Lady Finger 500g
BENGALURU_PARLE_BEVERAGES,Parle Beverages (Bengaluru),Frooti Mango Drink 1L
BENGALURU_PARLE_DAIRY,Parle Dairy (Bengaluru),Amul Taaza Toned Milk 1L
BENGALURU_PARLE_FRUITS,Parle Fruits (Bengaluru),Real Mixed Fruit Juice 1L
BENGALURU_PARLE_GROCERY,Parle Grocery (Bengaluru),Tata Sampann Besan 500g
BENGALURU_PARLE_HOME_CARE,Parle Home Care (Bengaluru),Rin Detergent Powder 1kg
BENGALURU_PARLE_PERSONAL_CARE,Parle Personal Care (Bengaluru),Dove Cream Beauty Bathing Bar 100g
BENGALURU_PARLE_SNACKS,Parle Snacks (Bengaluru),Parle Happy Happy 100g
BENGALURU_PARLE_VEGETABLES,Parle Vegetables (Bengaluru),Fresho Cauliflower 1pc
BENGALURU_PEPSICO_BEVERAGES,PepsiCo Beverages (Bengaluru),Pepsi Cola Soft Drink 1.25L
BENGALURU_PEPSICO_DAIRY,PepsiCo Dairy (Bengaluru),Amul Ghee 1L
BENGALURU_PEPSICO_FRUITS,PepsiCo Fruits (Bengaluru),Real Mango Juice 1L
BENGALURU_PEPSICO_GROCERY,PepsiCo Grocery (Bengaluru),Tata Salt Iodised Salt 1kg
BENGALURU_PEPSICO_HOME_CARE,PepsiCo Home Care (Bengaluru),Vim Dishwash Bar 200g
BENGALURU_PEPSICO_PERSONAL_CARE,PepsiCo Personal Care (Bengaluru),Dove Cream Beauty Bathing Bar 100g
BENGALURU_PEPSICO_SNACKS,PepsiCo Snacks (Bengaluru),Lay's Classic Salted 50g
BENGALURU_PEPSICO_VEGETABLES,PepsiCo Vegetables (Bengaluru),Fresho Cabbage 1pc
BENGALURU_TATA_BEVERAGES,Tata Beverages (Bengaluru),Tata Tea Agni 500g
BENGALURU_TATA_DAIRY,Tata Dairy (Bengaluru),Amul Masti Dahi 400g
BENGALURU_TATA_FRUITS,Tata Fruits (Bengaluru),Real Mixed Fruit Juice 1L
BENGALURU_TATA_GROCERY,Tata Grocery (Bengaluru),Tata Salt Iodised Salt 1kg
BENGALURU_TATA_HOME_CARE,Tata Home Care (Bengaluru),Surf Excel Easy Wash Detergent 1kg
BENGALURU_TATA_PERSONAL_CARE,Tata Personal Care (Bengaluru),Clinic Plus Strong & Long Shampoo 340ml
BENGALURU_TATA_SNACKS,Tata Snacks (Bengaluru),Kurkure Solid Masti 90g
BENGALURU_TATA_VEGETABLES,Tata Vegetables (Bengaluru),Tata Sampann High Protein Masoor Dal 1kg
CHENNAI_AMUL_BEVERAGES,Amul Beverages (Chennai),Amul Kool Cafe 200ml
CHENNAI_AMUL_DAIRY,Amul Dairy (Chennai),Amul Butter Pasteurised 500g
CHENNAI_AMUL_FRUITS,Amul Fruits (Chennai),Real Apple Juice 1L
CHENNAI_AMUL_GROCERY,Amul Grocery (Chennai),Tata Salt Lite 1kg
CHENNAI_AMUL_HOME_CARE,Amul Home Care (Chennai),Surf Excel Matic Front Load 1kg
CHENNAI_AMUL_PERSONAL_CARE,Amul Personal Care (Chennai),Sunsilk Stunning Black Shine Shampoo 340ml
CHENNAI_AMUL_SNACKS,Amul Snacks (Chennai),Kurkure Solid Masti 90g
CHENNAI_AMUL_VEGETABLES,Amul Vegetables (Chennai),Fresho Potato 1kg
CHENNAI_BRITANNIA_BEVERAGES,Britannia Beverages (Chennai),Mountain Dew Soft Drink 750ml
CHENNAI_BRITANNIA_DAIRY,Britannia Dairy (Chennai),Britannia Cheese Block 200g
CHENNAI_BRITANNIA_FRUITS,Britannia Fruits (Chennai),Real Orange Juice 1L
CHENNAI_BRITANNIA_GROCERY,Britannia Grocery (Chennai),Tata Sampann Moong Dal 1kg
CHENNAI_BRITANNIA_HOME_CARE,Britannia Home Care (Chennai),Surf Excel Matic Top Load 1kg
CHENNAI_BRITANNIA_PERSONAL_CARE,Britannia Personal Care (Chennai),Sunsilk Stunning Black Shine Shampoo 340ml
CHENNAI_BRITANNIA_SNACKS,Britannia Snacks (Chennai),Britannia Good Day Cashew Cookies 200g
CHENNAI_BRITANNIA_VEGETABLES,Britannia Vegetables (Chennai),Fresho Cauliflower 1pc
CHENNAI_HUL_BEVERAGES,HUL Beverages (Chennai),Aquafina Water 1L
CHENNAI_HUL_DAIRY,HUL Dairy (Chennai),Amul Cheese Slices 200g
CHENNAI_HUL_FRUITS,HUL Fruits (Chennai),Real Mixed Fruit Juice 1L
CHENNAI_HUL_GROCERY,HUL Grocery (Chennai),Tata Sampann Toor Dal 1kg
CHENNAI_HUL_HOME_CARE,HUL Home Care (Chennai),Vim Dishwash Liquid 500ml
CHENNAI_HUL_PERSONAL_CARE,HUL Personal Care (Chennai),Clinic Plus Strong & Long Shampoo 340ml
CHENNAI_HUL_SNACKS,HUL Snacks (Chennai),Lay's Classic Salted 50g
CHENNAI_HUL_VEGETABLES,HUL Vegetables (Chennai),Fresho Carrot 500g
CHENNAI_ITC_BEVERAGES,ITC Beverages (Chennai),B Natural Pineapple 1L
CHENNAI_ITC_DAIRY,ITC Dairy (Chennai),Amul Gold Full Cream Milk 1L
CHENNAI_ITC_FRUITS,ITC Fruits (Chennai),Real Apple Juice 1L
CHENNAI_ITC_GROCERY,ITC Grocery (Chennai),Aashirvaad Select Premium Atta 5kg
CHENNAI_ITC_HOME_CARE,ITC Home Care (Chennai),Vim Dishwash Bar 200g
CHENNAI_ITC_PERSONAL_CARE,ITC Personal Care (Chennai),Vivel Lotus Oil Soap 100g
CHENNAI_ITC_SNACKS,ITC Snacks (Chennai),Bingo Mad Angles Tomato Mischief 80g
CHENNAI_ITC_VEGETABLES,ITC Vegetables (Chennai),Fresho Lady Finger 500g
CHENNAI_NESTLE_BEVERAGES,Nestle Beverages (Chennai),Nestea Iced Tea 400g
CHENNAI_NESTLE_DAIRY,Nestle Dairy (Chennai),Nestle Everyday Dairy Whitener 200g
CHENNAI_NESTLE_FRUITS,Nestle Fruits (Chennai),Real Apple Juice 1L
CHENNAI_NESTLE_GROCERY,Nestle Grocery (Chennai),Maggi Rich Tomato Ketchup 500g
CHENNAI_NESTLE_HOME_CARE,Nestle Home Care (Chennai),Rin Detergent Powder 1kg
CHENNAI_NESTLE_PERSONAL_CARE,Nestle Personal Care (Chennai),Lux Soft Touch Soap 100g
CHENNAI_NESTLE_SNACKS,Nestle Snacks (Chennai),Maggi 2-Minute Masala Noodles 280g
CHENNAI_NESTLE_VEGETABLES,Nestle Vegetables (Chennai),Fresho Capsicum 500g
CHENNAI_PARLE_BEVERAGES,Parle Beverages (Chennai),Smoodh Chocolate Milk 85ml
CHENNAI_PARLE_DAIRY,Parle Dairy (Chennai),Amul Paneer 200g
CHENNAI_PARLE_FRUITS,Parle Fruits (Chennai),Real Mixed Fruit Juice 1L
CHENNAI_PARLE_GROCERY,Parle Grocery (Chennai),Tata Sampann Urad Dal 1kg
CHENNAI_PARLE_HOME_CARE,Parle Home Care (Chennai),Rin Detergent Powder 1kg
CHENNAI_PARLE_PERSONAL_CARE,Parle Personal Care (Chennai),Lifebuoy Total 10 Soap 100g
CHENNAI_PARLE_SNACKS,Parle Snacks (Chennai),Parle Krack Jack 75g
CHENNAI_PARLE_VEGETABLES,Parle Vegetables (Chennai),Fresho Tomato 1kg
CHENNAI_PEPSICO_BEVERAGES,PepsiCo Beverages (Chennai),Aquafina Water 1L
CHENNAI_PEPSICO_DAIRY,PepsiCo Dairy (Chennai),Amul Taaza Toned Milk 1L
CHENNAI_PEPSICO_FRUITS,PepsiCo Fruits (Chennai),Real Mango Juice 1L
CHENNAI_PEPSICO_GROCERY,PepsiCo Grocery (Chennai),Tata Sampann Besan 500g
CHENNAI_PEPSICO_HOME_CARE,PepsiCo Home Care (Chennai),Domex Toilet Cleaner 500ml
CHENNAI_PEPSICO_PERSONAL_CARE,PepsiCo Personal Care (Chennai),Pond's White Beauty Face Wash 100g
CHENNAI_PEPSICO_SNACKS,PepsiCo Snacks (Chennai),Lay's American Style Cream & Onion 50g
CHENNAI_PEPSICO_VEGETABLES,PepsiCo Vegetables (Chennai),Fresho Onion 1kg
CHENNAI_TATA_BEVERAGES,Tata Beverages (Chennai),Tetley Green Tea 25 Bags
CHENNAI_TATA_DAIRY,Tata Dairy (Chennai),Amul Paneer 200g
CHENNAI_TATA_FRUITS,Tata Fruits (Chennai),Real Guava Juice 1L
CHENNAI_TATA_GROCERY,Tata Grocery (Chennai),Tata Sampann Turmeric 200g
CHENNAI_TATA_HOME_CARE,Tata Home Care (Chennai),Surf Excel Matic Top Load 1kg
CHENNAI_TATA_PERSONAL_CARE,Tata Personal Care (Chennai),Dove Cream Beauty Bathing Bar 100g
CHENNAI_TATA_SNACKS,Tata Snacks (Chennai),Kurkure Puffcorn Yummy Cheese 55g
CHENNAI_TATA_VEGETABLES,Tata Vegetables (Chennai),Tata Sampann High Protein Kabuli Chana 1kg
DELHI_AMUL_BEVERAGES,Amul Beverages (Delhi),Amul Lassi 200ml
DELHI_AMUL_DAIRY,Amul Dairy (Delhi),Amul Masti Dahi 400g
DELHI_AMUL_FRUITS,Amul Fruits (Delhi),Real Pineapple Juice 1L
DELHI_AMUL_GROCERY,Amul Grocery (Delhi),Tata Sampann Moong Dal 1kg
DELHI_AMUL_HOME_CARE,Amul Home Care (Delhi),Rin Detergent Powder 1kg
DELHI_AMUL_PERSONAL_CARE,Amul Personal Care (Delhi),Pond's White Beauty Face Wash 100g
DELHI_AMUL_SNACKS,Amul Snacks (Delhi),Lay's Classic Salted 50g
DELHI_AMUL_VEGETABLES,Amul Vegetables (Delhi),Fresho Tomato 1kg
DELHI_BRITANNIA_BEVERAGES,Britannia Beverages (Delhi),Pepsi Cola Soft Drink 2.25L
DELHI_BRITANNIA_DAIRY,Britannia Dairy (Delhi),Britannia Daily Fresh Dahi 400g
DELHI_BRITANNIA_FRUITS,Britannia Fruits (Delhi),Real Pineapple Juice 1L
DELHI_BRITANNIA_GROCERY,Britannia Grocery (Delhi),Tata Sampann Moong Dal 1kg
DELHI_BRITANNIA_HOME_CARE,Britannia Home Care (Delhi),Rin Detergent Powder 1kg
DELHI_BRITANNIA_PERSONAL_CARE,Britannia Personal Care (Delhi),Lux Soft Touch Soap 100g
DELHI_BRITANNIA_SNACKS,Britannia Snacks (Delhi),Britannia Little Hearts 75g
DELHI_BRITANNIA_VEGETABLES,Britannia Vegetables (Delhi),Fresho Onion 1kg
DELHI_HUL_BEVERAGES,HUL Beverages (Delhi),Mountain Dew Soft Drink 750ml
DELHI_HUL_DAIRY,HUL Dairy (Delhi),Amul Taaza Toned Milk 1L
DELHI_HUL_FRUITS,HUL Fruits (Delhi),Real Orange Juice 1L
DELHI_HUL_GROCERY,HUL Grocery (Delhi),Tata Salt Lite 1kg
DELHI_HUL_HOME_CARE,HUL Home Care (Delhi),Surf Excel Matic Top Load 1kg
DELHI_HUL_PERSONAL_CARE,HUL Personal Care (Delhi),Sunsilk Stunning Black Shine Shampoo 340ml
DELHI_HUL_SNACKS,HUL Snacks (Delhi),Kurkure Solid Masti 90g
DELHI_HUL_VEGETABLES,HUL Vegetables (Delhi),Fresho Cabbage 1pc
DELHI_ITC_BEVERAGES,ITC Beverages (Delhi),Sunfeast Yippee Magic 120g
DELHI_ITC_DAIRY,ITC Dairy (Delhi),Amul Paneer 200g
DELHI_ITC_FRUITS,ITC Fruits (Delhi),Real Pomegranate Juice 1L
DELHI_ITC_GROCERY,ITC Grocery (Delhi),Aashirvaad Coriander Powder 200g
DELHI_ITC_HOME_CARE,ITC Home Care (Delhi),Rin Detergent Powder 1kg
DELHI_ITC_PERSONAL_CARE,ITC Personal Care (Delhi),Engage Cologne Spray 135ml
DELHI_ITC_SNACKS,ITC Snacks (Delhi),Sunfeast Marie Light 250g
DELHI_ITC_VEGETABLES,ITC Vegetables (Delhi),Fresho Carrot 500g
DELHI_NESTLE_BEVERAGES,Nestle Beverages (Delhi),Milo Energy Drink 200ml
DELHI_NESTLE_DAIRY,Nestle Dairy (Delhi),Nestle Milkmaid 400g
DELHI_NESTLE_FRUITS,Nestle Fruits (Delhi),Real Pineapple Juice 1L
DELHI_NESTLE_GROCERY,Nestle Grocery (Delhi),Maggi Pazzta Cheese Macaroni 70g
DELHI_NESTLE_HOME_CARE,Nestle Home Care (Delhi),Surf Excel Easy Wash Detergent 1kg
DELHI_NESTLE_PERSONAL_CARE,Nestle Personal Care (Delhi),Pepsodent Germi Check Toothpaste 150g
DELHI_NESTLE_SNACKS,Nestle Snacks (Delhi),Maggi Nutri-licious Atta Noodles 300g
DELHI_NESTLE_VEGETABLES,Nestle Vegetables (Delhi),Fresho Cauliflower 1pc
DELHI_PARLE_BEVERAGES,Parle Beverages (Delhi),Frooti Mango Drink 200ml
DELHI_PARLE_DAIRY,Parle Dairy (Delhi),Amul Masti Dahi 400g
DELHI_PARLE_FRUITS,Parle Fruits (Delhi),Real Mixed Fruit Juice 1L
DELHI_PARLE_GROCERY,Parle Grocery (Delhi),Tata Sampann Moong Dal 1kg
DELHI_PARLE_HOME_CARE,Parle Home Care (Delhi),Comfort Fabric Conditioner 860ml
DELHI_PARLE_PERSONAL_CARE,Parle Personal Care (Delhi),Dove Cream Beauty Bathing Bar 100g
DELHI_PARLE_SNACKS,Parle Snacks (Delhi),Parle-G Original Glucose Biscuits 800g
DELHI_PARLE_VEGETABLES,Parle Vegetables (Delhi),Fresho Capsicum 500g
DELHI_PEPSICO_BEVERAGES,PepsiCo Beverages (Delhi),Slice Mango Drink 600ml
DELHI_PEPSICO_DAIRY,PepsiCo Dairy (Delhi),Amul Fresh Cream 250ml
DELHI_PEPSICO_FRUITS,PepsiCo Fruits (Delhi),Real Mixed Fruit Juice 1L
DELHI_PEPSICO_GROCERY,PepsiCo Grocery (Delhi),Tata Salt Iodised Salt 1kg
DELHI_PEPSICO_HOME_CARE,PepsiCo Home Care (Delhi),Rin Detergent Powder 1kg
DELHI_PEPSICO_PERSONAL_CARE,PepsiCo Personal Care (Delhi),Fair & Lovely Advanced Multi Vitamin 50g
DELHI_PEPSICO_SNACKS,PepsiCo Snacks (Delhi),Kurkure Chilli Chatka 90g
DELHI_PEPSICO_VEGETABLES,PepsiCo Vegetables (Delhi),Fresho Potato 1kg
DELHI_TATA_BEVERAGES,Tata Beverages (Delhi),Tata Tea Premium 500g
DELHI_TATA_DAIRY,Tata Dairy (Delhi),Amul Paneer 200g
DELHI_TATA_FRUITS,Tata Fruits (Delhi),Real Pineapple Juice 1L
DELHI_TATA_GROCERY,Tata Grocery (Delhi),Tata Sampann Chana Dal 1kg
DELHI_TATA_HOME_CARE,Tata Home Care (Delhi),Rin Detergent Powder 1kg
DELHI_TATA_PERSONAL_CARE,Tata Personal Care (Delhi),Clinic Plus Strong & Long Shampoo 340ml
DELHI_TATA_SNACKS,Tata Snacks (Delhi),Lay's India's Magic Masala 50g
DELHI_TATA_VEGETABLES,Tata Vegetables (Delhi),Tata Sampann High Protein Chana Dal 1kg
HYDERABAD_AMUL_BEVERAGES,Amul Beverages (Hyderabad),Amul Masti Buttermilk 500ml
HYDERABAD_AMUL_DAIRY,Amul Dairy (Hyderabad),Amul Cheese Slices 200g
HYDERABAD_AMUL_FRUITS,Amul Fruits (Hyderabad),Real Mixed Fruit Juice 1L
HYDERABAD_AMUL_GROCERY,Amul Grocery (Hyderabad),Tata Sampann Turmeric 200g
HYDERABAD_AMUL_HOME_CARE,Amul Home Care (Hyderabad),Surf Excel Matic Top Load 1kg
HYDERABAD_AMUL_PERSONAL_CARE,Amul Personal Care (Hyderabad),Lifebuoy Total 10 Soap 100g
HYDERABAD_AMUL_SNACKS,Amul Snacks (Hyderabad),Kurkure Chilli Chatka 90g
HYDERABAD_AMUL_VEGETABLES,Amul Vegetables (Hyderabad),Fresho Onion 1kg
HYDERABAD_BRITANNIA_BEVERAGES,Britannia Beverages (Hyderabad),Mirinda Orange 750ml
HYDERABAD_BRITANNIA_DAIRY,Britannia Dairy (Hyderabad),Britannia Cheese Cubes 200g
HYDERABAD_BRITANNIA_FRUITS,Britannia Fruits (Hyderabad),Real Guava Juice 1L
HYDERABAD_BRITANNIA_GROCERY,Britannia Grocery (Hyderabad),Tata Sampann Toor Dal 1kg
HYDERABAD_BRITANNIA_HOME_CARE,Britannia Home Care (Hyderabad),Surf Excel Matic Top Load 1kg
HYDERABAD_BRITANNIA_PERSONAL_CARE,Britannia Personal Care (Hyderabad),Pond's White Beauty Face Wash 100g
HYDERABAD_BRITANNIA_SNACKS,Britannia Snacks (Hyderabad),Britannia Milk Bikis 120g
HYDERABAD_BRITANNIA_VEGETABLES,Britannia Vegetables (Hyderabad),Fresho Tomato 1kg
